Date_JST,TimeRange_JST,PriceMovement,MaxHigh_in_Range,MinLow_in_Range,IsWeekend,Weekday
2019-05-01,07:00-09:00,,,,False,Wednesday
2019-05-01,09:00-12:00,5.800,1991.140,1985.340,False,Wednesday
2019-05-01,12:00-15:00,3.250,1991.140,1987.890,False,Wednesday
2019-05-01,15:00-21:00,4.190,1992.890,1988.700,False,Wednesday
2019-05-01,21:00-24:00,5.380,1991.990,1986.610,False,Wednesday
2019-05-01,00:00-03:00,,,,False,Wednesday
2019-05-01,03:00-07:00,,,,False,Wednesday
2019-05-02,07:00-09:00,5.750,1985.220,1979.470,False,Thursday
2019-05-02,09:00-12:00,4.340,1984.340,1980.000,False,Thursday
2019-05-02,12:00-15:00,4.620,1984.410,1979.790,False,Thursday
2019-05-02,15:00-21:00,4.670,1985.900,1981.230,False,Thursday
2019-05-02,21:00-24:00,6.420,1982.260,1975.840,False,Thursday
2019-05-02,00:00-03:00,6.900,1990.470,1983.570,False,Thursday
2019-05-02,03:00-07:00,13.960,1988.860,1974.900,False,Thursday
2019-05-03,07:00-09:00,5.960,1957.780,1951.820,False,Friday
2019-05-03,09:00-12:00,5.000,1958.830,1953.830,False,Friday
2019-05-03,12:00-15:00,3.340,1958.370,1955.030,False,Friday
2019-05-03,15:00-21:00,10.180,1964.050,1953.870,False,Friday
2019-05-03,21:00-24:00,8.110,1968.600,1960.490,False,Friday
2019-05-03,00:00-03:00,7.210,1979.310,1972.100,False,Friday
2019-05-03,03:00-07:00,26.970,1978.790,1951.820,False,Friday
2019-05-04,07:00-09:00,27.070,1984.070,1957.000,True,Saturday
2019-05-04,09:00-12:00,,,,True,Saturday
2019-05-04,12:00-15:00,,,,True,Saturday
2019-05-04,15:00-21:00,,,,True,Saturday
2019-05-04,21:00-24:00,,,,True,Saturday
2019-05-04,00:00-03:00,4.800,1968.180,1963.380,True,Saturday
2019-05-04,03:00-07:00,8.910,1966.710,1957.800,True,Saturday
2019-05-06,07:00-09:00,,,,False,Monday
2019-05-06,09:00-12:00,10.100,1983.150,1973.050,False,Monday
2019-05-06,12:00-15:00,8.000,1982.140,1974.140,False,Monday
2019-05-06,15:00-21:00,6.050,1982.210,1976.160,False,Monday
2019-05-06,21:00-24:00,7.410,1978.520,1971.110,False,Monday
2019-05-06,00:00-03:00,,,,False,Monday
2019-05-06,03:00-07:00,,,,False,Monday
2019-05-07,07:00-09:00,6.610,1975.370,1968.760,False,Tuesday
2019-05-07,09:00-12:00,5.370,1978.830,1973.460,False,Tuesday
2019-05-07,12:00-15:00,4.480,1975.710,1971.230,False,Tuesday
2019-05-07,15:00-21:00,12.370,1972.460,1960.090,False,Tuesday
2019-05-07,21:00-24:00,9.170,1964.480,1955.310,False,Tuesday
2019-05-07,00:00-03:00,8.300,1982.520,1974.220,False,Tuesday
2019-05-07,03:00-07:00,11.600,1980.360,1968.760,False,Tuesday
2019-05-08,07:00-09:00,10.370,1974.580,1964.210,False,Wednesday
2019-05-08,09:00-12:00,6.220,1977.580,1971.360,False,Wednesday
2019-05-08,12:00-15:00,3.430,1977.580,1974.150,False,Wednesday
2019-05-08,15:00-21:00,5.910,1978.540,1972.630,False,Wednesday
2019-05-08,21:00-24:00,9.890,1980.450,1970.560,False,Wednesday
2019-05-08,00:00-03:00,7.100,1961.210,1954.110,False,Wednesday
2019-05-08,03:00-07:00,19.060,1973.380,1954.320,False,Wednesday
2019-05-09,07:00-09:00,15.370,1971.990,1956.620,False,Thursday
2019-05-09,09:00-12:00,8.490,1965.110,1956.620,False,Thursday
2019-05-09,12:00-15:00,8.190,1965.110,1956.920,False,Thursday
2019-05-09,15:00-21:00,6.870,1961.720,1954.850,False,Thursday
2019-05-09,21:00-24:00,6.500,1961.300,1954.800,False,Thursday
2019-05-09,00:00-03:00,6.950,1977.670,1970.720,False,Thursday
2019-05-09,03:00-07:00,18.420,1985.190,1966.770,False,Thursday
2019-05-10,07:00-09:00,8.730,1951.550,1942.820,False,Friday
2019-05-10,09:00-12:00,2.800,1944.930,1942.130,False,Friday
2019-05-10,12:00-15:00,5.250,1944.020,1938.770,False,Friday
2019-05-10,15:00-21:00,12.180,1948.820,1936.640,False,Friday
2019-05-10,21:00-24:00,5.460,1952.320,1946.860,False,Friday
2019-05-10,00:00-03:00,5.580,1964.660,1959.080,False,Friday
2019-05-10,03:00-07:00,23.840,1962.960,1939.120,False,Friday
2019-05-11,07:00-09:00,13.040,1951.710,1938.670,True,Saturday
2019-05-11,09:00-12:00,,,,True,Saturday
2019-05-11,12:00-15:00,,,,True,Saturday
2019-05-11,15:00-21:00,,,,True,Saturday
2019-05-11,21:00-24:00,,,,True,Saturday
2019-05-11,00:00-03:00,6.910,1957.150,1950.240,True,Saturday
2019-05-11,03:00-07:00,9.630,1953.750,1944.120,True,Saturday
2019-05-13,07:00-09:00,,,,False,Monday
2019-05-13,09:00-12:00,3.980,1946.880,1942.900,False,Monday
2019-05-13,12:00-15:00,6.460,1947.470,1941.010,False,Monday
2019-05-13,15:00-21:00,6.000,1946.120,1940.120,False,Monday
2019-05-13,21:00-24:00,3.840,1948.770,1944.930,False,Monday
2019-05-13,00:00-03:00,,,,False,Monday
2019-05-13,03:00-07:00,,,,False,Monday
2019-05-14,07:00-09:00,4.140,1948.170,1944.030,False,Tuesday
2019-05-14,09:00-12:00,2.370,1944.950,1942.580,False,Tuesday
2019-05-14,12:00-15:00,4.100,1945.000,1940.900,False,Tuesday
2019-05-14,15:00-21:00,14.690,1946.550,1931.860,False,Tuesday
2019-05-14,21:00-24:00,21.470,1956.210,1934.740,False,Tuesday
2019-05-14,00:00-03:00,6.350,1947.050,1940.700,False,Tuesday
2019-05-14,03:00-07:00,5.500,1949.600,1944.100,False,Tuesday
2019-05-15,07:00-09:00,2.090,1959.700,1957.610,False,Wednesday
2019-05-15,09:00-12:00,2.970,1960.700,1957.730,False,Wednesday
2019-05-15,12:00-15:00,2.480,1959.780,1957.300,False,Wednesday
2019-05-15,15:00-21:00,11.660,1965.190,1953.530,False,Wednesday
2019-05-15,21:00-24:00,9.210,1964.010,1954.800,False,Wednesday
2019-05-15,00:00-03:00,9.250,1962.180,1952.930,False,Wednesday
2019-05-15,03:00-07:00,12.950,1963.400,1950.450,False,Wednesday
2019-05-16,07:00-09:00,5.630,1968.600,1962.970,False,Thursday
2019-05-16,09:00-12:00,2.610,1964.880,1962.270,False,Thursday
2019-05-16,12:00-15:00,5.190,1967.320,1962.130,False,Thursday
2019-05-16,15:00-21:00,7.000,1967.380,1960.380,False,Thursday
2019-05-16,21:00-24:00,9.160,1962.410,1953.250,False,Thursday
2019-05-16,00:00-03:00,8.090,1962.920,1954.830,False,Thursday
2019-05-16,03:00-07:00,14.250,1974.710,1960.460,False,Thursday
2019-05-17,07:00-09:00,5.470,1980.990,1975.520,False,Friday
2019-05-17,09:00-12:00,2.730,1978.250,1975.520,False,Friday
2019-05-17,12:00-15:00,2.040,1977.850,1975.810,False,Friday
2019-05-17,15:00-21:00,9.400,1983.310,1973.910,False,Friday
2019-05-17,21:00-24:00,6.150,1981.060,1974.910,False,Friday
2019-05-17,00:00-03:00,12.680,1970.930,1958.250,False,Friday
2019-05-17,03:00-07:00,17.080,1982.990,1965.910,False,Friday
2019-05-18,07:00-09:00,3.730,1953.700,1949.970,True,Saturday
2019-05-18,09:00-12:00,,,,True,Saturday
2019-05-18,12:00-15:00,,,,True,Saturday
2019-05-18,15:00-21:00,,,,True,Saturday
2019-05-18,21:00-24:00,,,,True,Saturday
2019-05-18,00:00-03:00,12.530,1981.060,1968.530,True,Saturday
2019-05-18,03:00-07:00,24.460,1976.560,1952.100,True,Saturday
2019-05-20,07:00-09:00,,,,False,Monday
2019-05-20,09:00-12:00,4.140,1951.980,1947.840,False,Monday
2019-05-20,12:00-15:00,4.440,1950.010,1945.570,False,Monday
2019-05-20,15:00-21:00,6.400,1948.200,1941.800,False,Monday
2019-05-20,21:00-24:00,7.450,1945.860,1938.410,False,Monday
2019-05-20,00:00-03:00,,,,False,Monday
2019-05-20,03:00-07:00,,,,False,Monday
2019-05-21,07:00-09:00,5.480,1962.490,1957.010,False,Tuesday
2019-05-21,09:00-12:00,3.520,1963.910,1960.390,False,Tuesday
2019-05-21,12:00-15:00,2.790,1963.060,1960.270,False,Tuesday
2019-05-21,15:00-21:00,6.850,1964.440,1957.590,False,Tuesday
2019-05-21,21:00-24:00,6.670,1963.370,1956.700,False,Tuesday
2019-05-21,00:00-03:00,7.860,1945.860,1938.000,False,Tuesday
2019-05-21,03:00-07:00,23.800,1961.800,1938.000,False,Tuesday
