start_time_utc_seconds	start_time_readable	start_price	start_type	end_time_utc_seconds	end_time_readable	end_price	end_type	price_difference	abs_price_difference	bars_duration
1556675940	2019.05.01 01:59:00	1985.34	valley	1556676960	2019.05.01 02:16:00	1989.97	peak	4.63	4.63	17
1556676960	2019.05.01 02:16:00	1989.97	peak	1556677740	2019.05.01 02:29:00	1987.04	valley	-2.93	2.93	13
1556677740	2019.05.01 02:29:00	1987.04	valley	1556678520	2019.05.01 02:42:00	1988.06	peak	1.02	1.02	13
1556678520	2019.05.01 02:42:00	1988.06	peak	1556678820	2019.05.01 02:47:00	1986.41	valley	-1.65	1.65	5
1556678820	2019.05.01 02:47:00	1986.41	valley	1556680800	2019.05.01 03:20:00	1991.14	peak	4.73	4.73	33
1556680800	2019.05.01 03:20:00	1991.14	peak	1556681820	2019.05.01 03:37:00	1988.83	valley	-2.31	2.31	17
1556681820	2019.05.01 03:37:00	1988.83	valley	1556682480	2019.05.01 03:48:00	1991.09	peak	2.26	2.26	11
1556682480	2019.05.01 03:48:00	1991.09	peak	1556683560	2019.05.01 04:06:00	1989.36	valley	-1.73	1.73	18
1556683560	2019.05.01 04:06:00	1989.36	valley	1556683860	2019.05.01 04:11:00	1990.59	peak	1.23	1.23	5
1556683860	2019.05.01 04:11:00	1990.59	peak	1556684580	2019.05.01 04:23:00	1989.71	valley	-0.88	0.88	12
1556684580	2019.05.01 04:23:00	1989.71	valley	1556685060	2019.05.01 04:31:00	1991.08	peak	1.37	1.37	8
1556685060	2019.05.01 04:31:00	1991.08	peak	1556686140	2019.05.01 04:49:00	1989.69	valley	-1.39	1.39	18
1556686140	2019.05.01 04:49:00	1989.69	valley	1556686380	2019.05.01 04:53:00	1991.05	peak	1.36	1.36	4
1556686380	2019.05.01 04:53:00	1991.05	peak	1556687880	2019.05.01 05:18:00	1988.38	valley	-2.67	2.67	25
1556687880	2019.05.01 05:18:00	1988.38	valley	1556688840	2019.05.01 05:34:00	1989.37	peak	0.99	0.99	16
1556688840	2019.05.01 05:34:00	1989.37	peak	1556689980	2019.05.01 05:53:00	1987.89	valley	-1.48	1.48	19
1556689980	2019.05.01 05:53:00	1987.89	valley	1556691480	2019.05.01 06:18:00	1989.45	peak	1.56	1.56	25
1556691480	2019.05.01 06:18:00	1989.45	peak	1556691960	2019.05.01 06:26:00	1988.91	valley	-0.54	0.54	8
1556691960	2019.05.01 06:26:00	1988.91	valley	1556693220	2019.05.01 06:47:00	1990.05	peak	1.14	1.14	21
1556693220	2019.05.01 06:47:00	1990.05	peak	1556694300	2019.05.01 07:05:00	1989.12	valley	-0.93	0.93	18
1556694300	2019.05.01 07:05:00	1989.12	valley	1556694780	2019.05.01 07:13:00	1989.60	peak	0.48	0.48	8
1556694780	2019.05.01 07:13:00	1989.60	peak	1556695500	2019.05.01 07:25:00	1988.70	valley	-0.90	0.90	12
1556695500	2019.05.01 07:25:00	1988.70	valley	1556698740	2019.05.01 08:19:00	1992.89	peak	4.19	4.19	54
